kauneus,kauneudessa
aulius,auliudessa
etuus,etuudessa
huonous,huonoudessa
osuus,osuudessa
kalvin,kalvimessa
muurain,muuraimessa
ohjain,ohjaimessa
puhelin,puhelimessa
selain,selaimessa
airut,airuessa
ohut,ohuessa
almu,almussa
arho,arhossa
farkku,farkussa
harppu,harpussa
juotto,juotossa
aalto,aallossa
koira,koirassa
talo,talossa
vadelma,vadelmassa
sisu,sisussa
sota,sodassa
nokka,nokassa
apaja,apajassa
nopea,nopeassa
kuu,kuussa
maa,maassa
suo,suossa
kaihi,kaihessa
koski,koskessa
ovi,ovessa
putki,putkessa
ruuhi,ruuhessa
vuohi,vuohessa
taempi,taemmassa
ulompi,ulommassa
ohempi,ohemmassa
jalompi,jalommassa
karseampi,karseammassa
kuusi,kuudessa
kausi,kaudessa
vuosi,vuodessa
upouusi,upouudessa
susi,sudessa
oireeton,oireettomassa
puuton,puuttomassa
lapseton,lapsettomassa
ajaton,ajattomassa
ehdoton,ehdottomassa
hamonen,hamosessa
saksalainen,saksalaisessa
kauranen,kaurasessa
aikuinen,aikuisessa
alanen,alasessa
ajokas,ajokkaassa
kaunis,kauniissa
kernas,kernaassa
irvokas,irvokkaassa
kallas,kaltaassa
lounas,lounaassa
valmis,valmiissa
mallas,maltaassa
huone,huoneessa
luode,luoteessa
nokare,nokareessa
rae,rakeessa
talle,talteessa
uurre,uurteessa
halukas,halukkaassa
hansikas,hansikkaassa
hauras,hauraassa
hevonen,hevosessa
kastike,kastikkeessa
kone,koneessa
